report_period_start,report_period_end,source,sessions,screen_page_views,avg_session_duration_mmss,engagement_rate_pct
2025-01-01,2025-12-31,google,1189,10,00:00:53,27.33
2025-01-01,2025-12-31,(direct),1007,0,00:01:08,28.90
2025-01-01,2025-12-31,chatgpt.com,43,0,00:01:18,30.23
2025-01-01,2025-12-31,bing,22,0,00:00:40,45.45
2025-01-01,2025-12-31,expedia.com,20,0,00:01:51,30.00
2025-01-01,2025-12-31,yahoo,18,0,00:02:30,27.78
2025-01-01,2025-12-31,duckduckgo,16,0,00:00:31,31.25
2025-01-01,2025-12-31,visitcalifornia.com,6,0,00:01:13,33.33
2025-01-01,2025-12-31,(not set),5,0,00:00:22,0.00
2025-01-01,2025-12-31,hotels.com,5,0,00:00:00,0.00
2025-01-01,2025-12-31,travelawaits.com,4,0,00:02:07,25.00
2025-01-01,2025-12-31,usc-excel.officeapps.live.com,4,0,00:09:60,25.00
2025-01-01,2025-12-31,perplexity,3,0,00:00:00,0.00
2025-01-01,2025-12-31,travelzoo,2,0,00:00:00,0.00
2025-01-01,2025-12-31,visitdanapoint-com.translate.goog,2,0,00:00:08,50.00
2025-01-01,2025-12-31,aol,1,0,00:21:45,100.00
2025-01-01,2025-12-31,bradfeldmangroup.com,1,0,00:00:00,0.00
2025-01-01,2025-12-31,cn.bing.com,1,0,00:00:00,0.00
2025-01-01,2025-12-31,dashboard.pantheon.io,1,0,00:00:02,0.00
2025-01-01,2025-12-31,eu1-app.outplayhq.com,1,0,00:00:00,0.00
2025-01-01,2025-12-31,facebook.com,1,0,00:00:00,0.00
2025-01-01,2025-12-31,gemini.google.com,1,0,00:00:14,100.00
2025-01-01,2025-12-31,pinterest.com,1,0,00:00:32,100.00
2025-01-01,2025-12-31,reservations.arestravel.com,1,0,00:00:00,0.00
2025-01-01,2025-12-31,statics.teams.cdn.office.net,1,0,00:14:46,100.00
2025-01-01,2025-12-31,wildlifeheritageareas.org,1,0,00:00:00,0.00
