Date,"Reactions","Engagement"
"April 3, 2026",,
"April 2, 2026",,
"April 1, 2026",0,1
"March 31, 2026",0,1
"March 30, 2026",5,18
"March 29, 2026",8,24
"March 28, 2026",10,30
"March 27, 2026",0,0
"March 26, 2026",0,0
"March 25, 2026",1,2
"March 24, 2026",3,4
"March 23, 2026",0,0
"March 22, 2026",0,2
"March 21, 2026",0,0
"March 20, 2026",0,0
"March 19, 2026",0,0
"March 18, 2026",3,5
"March 17, 2026",1,1
"March 16, 2026",0,0
"March 15, 2026",0,0
"March 14, 2026",0,0
"March 13, 2026",0,1
"March 12, 2026",0,1
"March 11, 2026",0,0
"March 10, 2026",0,2
"March 9, 2026",0,2
"March 8, 2026",0,0
"March 7, 2026",1,3
"March 6, 2026",0,1
"March 5, 2026",0,0
"March 4, 2026",0,1
"March 3, 2026",4,4
"March 2, 2026",0,0
"March 1, 2026",0,0
"February 28, 2026",0,1
"February 27, 2026",0,1
"February 26, 2026",1,4
"February 25, 2026",0,0
"February 24, 2026",1,2
"February 23, 2026",0,0
"February 22, 2026",1,6
"February 21, 2026",1,1
"February 20, 2026",0,0
"February 19, 2026",0,0
"February 18, 2026",1,2
"February 17, 2026",1,1
"February 16, 2026",0,0
"February 15, 2026",0,0
"February 14, 2026",0,1
"February 13, 2026",0,0
"February 12, 2026",1,1
"February 11, 2026",0,2
"February 10, 2026",0,0
"February 9, 2026",0,0
"February 8, 2026",2,4
"February 7, 2026",0,0
"February 6, 2026",0,1
"February 5, 2026",2,3
"February 4, 2026",0,2
"February 3, 2026",0,0
"February 2, 2026",1,1
"February 1, 2026",0,0
"January 31, 2026",4,7
"January 30, 2026",0,0
"January 29, 2026",1,1
"January 28, 2026",0,1
"January 27, 2026",1,1
"January 26, 2026",0,0
"January 25, 2026",1,1
"January 24, 2026",0,0
"January 23, 2026",0,0
"January 22, 2026",1,1
"January 21, 2026",1,6
"January 20, 2026",10,13
"January 19, 2026",0,0
"January 18, 2026",0,0
"January 17, 2026",3,5
"January 16, 2026",2,6
"January 15, 2026",4,4
"January 14, 2026",5,8
"January 13, 2026",4,5
"January 12, 2026",6,6
"January 11, 2026",3,5
"January 10, 2026",8,10
"January 9, 2026",7,9
"January 8, 2026",9,16
"January 7, 2026",20,22
"January 6, 2026",15,16
"January 5, 2026",18,27
"January 4, 2026",21,27
"January 3, 2026",10,14
"January 2, 2026",15,20
"January 1, 2026",44,83
