Date,"Video Views","Followers"
"April 3, 2026",,
"April 2, 2026",,543
"April 1, 2026",,544
"March 31, 2026",2,544
"March 30, 2026",2,544
"March 29, 2026",6,544
"March 28, 2026",3,544
"March 27, 2026",1,544
"March 26, 2026",3,544
"March 25, 2026",5,544
"March 24, 2026",3,543
"March 23, 2026",2,543
"March 22, 2026",7,543
"March 21, 2026",4,543
"March 20, 2026",8,542
"March 19, 2026",1,542
"March 18, 2026",2,542
"March 17, 2026",0,542
"March 16, 2026",3,542
"March 15, 2026",4,541
"March 14, 2026",3,541
"March 13, 2026",3,541
"March 12, 2026",2,539
"March 11, 2026",4,539
"March 10, 2026",4,539
"March 9, 2026",5,539
"March 8, 2026",4,538
"March 7, 2026",1,
"March 6, 2026",2,538
"March 5, 2026",1,538
"March 4, 2026",1,538
"March 3, 2026",0,537
"March 2, 2026",3,537
"March 1, 2026",4,537
"February 28, 2026",6,538
"February 27, 2026",2,538
"February 26, 2026",6,538
"February 25, 2026",1,541
"February 24, 2026",0,541
"February 23, 2026",2,541
"February 22, 2026",1,541
"February 21, 2026",0,541
"February 20, 2026",0,541
"February 19, 2026",3,541
"February 18, 2026",0,540
"February 17, 2026",1,540
"February 16, 2026",5,539
"February 15, 2026",8,539
"February 14, 2026",7,538
"February 13, 2026",0,538
"February 12, 2026",2,539
"February 11, 2026",1,539
"February 10, 2026",5,
"February 9, 2026",0,
"February 8, 2026",1,
"February 7, 2026",5,
"February 6, 2026",3,
"February 5, 2026",0,
"February 4, 2026",6,
"February 3, 2026",1,
"February 2, 2026",6,543
"February 1, 2026",4,543
"January 31, 2026",3,543
"January 30, 2026",3,543
"January 29, 2026",2,543
"January 28, 2026",9,543
"January 27, 2026",9,543
"January 26, 2026",5,543
"January 25, 2026",13,543
"January 24, 2026",3,543
"January 23, 2026",13,543
"January 22, 2026",0,543
"January 21, 2026",0,543
"January 20, 2026",11,543
"January 19, 2026",8,543
"January 18, 2026",5,543
"January 17, 2026",5,543
"January 16, 2026",4,543
"January 15, 2026",4,543
"January 14, 2026",2,543
"January 13, 2026",2,543
"January 12, 2026",1,543
"January 11, 2026",22,544
"January 10, 2026",29,545
"January 9, 2026",15,545
"January 8, 2026",8,545
"January 7, 2026",6,545
"January 6, 2026",2,545
"January 5, 2026",8,545
"January 4, 2026",18,545
"January 3, 2026",27,545
"January 2, 2026",22,545
"January 1, 2026",22,546
